product_code,status,category,source_tab,width_cm,length_cm,size_cm,width_ft,length_ft,size_ft,updated_at
4952,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4953,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4954,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4955,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4957,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4960,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4961,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4962,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4963,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4965,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4967,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4968,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4969,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4971,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4972,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4974,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4975,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4977,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4979,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4981,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4982,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4983,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4985,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4986,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4987,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4989,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4990,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4991,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4993,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4995,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4996,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4999,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5002,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5003,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5004,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5005,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5006,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5008,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5009,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5010,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5011,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5014,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5015,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5017,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5018,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5019,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5021,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5022,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5024,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5031,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5032,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5033,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5034,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5035,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5036,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5037,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5039,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5040,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5041,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5042,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5043,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5044,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5049,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5051,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5053,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5055,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5061,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5062,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5063,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5064,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5065,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
